district,crop,season,year,avg_percent,payout
Palghar,Mango,Kharif,2022,0,0
Palghar,Mango,Kharif,2023,0,0
Palghar,Mango,Rabi,2020,0,0
Palghar,Mango,Rabi,2021,0,0
Palghar,Mango,Rabi,2022,0,0
Palghar,Mango,Rabi,2023,0,0
Parbhani,Pomegranate,Kharif,2020,8.75,11375
Parbhani,Pomegranate,Kharif,2021,10,13000
Parbhani,Pomegranate,Kharif,2022,10,13000
Parbhani,Pomegranate,Kharif,2023,39.45,51285
Parbhani,Pomegranate,Rabi,2020,0,0
Parbhani,Pomegranate,Rabi,2021,0,0
Parbhani,Pomegranate,Rabi,2022,0,0
Parbhani,Pomegranate,Rabi,2023,0,0
Parbhani,Mango,Kharif,2020,0,0
Parbhani,Mango,Kharif,2021,0,0
Parbhani,Mango,Kharif,2022,0,0
Parbhani,Mango,Kharif,2023,0,0
Parbhani,Mango,Rabi,2020,50.77,71085
Parbhani,Mango,Rabi,2021,40,56000
Parbhani,Mango,Rabi,2022,56.27,78785
Parbhani,Mango,Rabi,2023,50.35,70490
Pune,Pomegranate,Kharif,2020,0,0
Pune,Pomegranate,Kharif,2021,10,13000
Pune,Pomegranate,Kharif,2022,0,0
Pune,Pomegranate,Kharif,2023,9.45,12285
Pune,Pomegranate,Rabi,2020,0,0
Pune,Pomegranate,Rabi,2021,0,0
Pune,Pomegranate,Rabi,2022,0,0
Pune,Pomegranate,Rabi,2023,0,0
Pune,Mango,Kharif,2020,0,0
Pune,Mango,Kharif,2021,0,0
Pune,Mango,Kharif,2022,0,0
Pune,Mango,Kharif,2023,0,0
Pune,Mango,Rabi,2020,29.75,41650
Pune,Mango,Rabi,2021,29.93,41895
Pune,Mango,Rabi,2022,19.4,27160
Pune,Mango,Rabi,2023,29.65,41510
Raigarh,Pomegranate,Kharif,2020,0,0
Raigarh,Pomegranate,Kharif,2021,9.7,12610
Raigarh,Pomegranate,Kharif,2022,0,0
Raigarh,Pomegranate,Kharif,2023,8.97,11667.5
Raigarh,Pomegranate,Rabi,2020,0,0
Raigarh,Pomegranate,Rabi,2021,0,0
Raigarh,Pomegranate,Rabi,2022,0,0
Raigarh,Pomegranate,Rabi,2023,0,0
Raigarh,Mango,Kharif,2020,0,0
Raigarh,Mango,Kharif,2021,0,0
Raigarh,Mango,Kharif,2022,0,0
Raigarh,Mango,Kharif,2023,0,0
Raigarh,Mango,Rabi,2020,0,0
Raigarh,Mango,Rabi,2021,9.9,13860
Raigarh,Mango,Rabi,2022,16.62,23275
Raigarh,Mango,Rabi,2023,0,0
Ratnagiri,Pomegranate,Kharif,2020,0,0
Ratnagiri,Pomegranate,Kharif,2021,9.98,12967.5
Ratnagiri,Pomegranate,Kharif,2022,0,0
Ratnagiri,Pomegranate,Kharif,2023,18.88,24537.5
Ratnagiri,Pomegranate,Rabi,2020,0,0
Ratnagiri,Pomegranate,Rabi,2021,0,0
Ratnagiri,Pomegranate,Rabi,2022,0,0
Ratnagiri,Pomegranate,Rabi,2023,0,0
Ratnagiri,Mango,Kharif,2020,0,0
Ratnagiri,Mango,Kharif,2021,0,0
Ratnagiri,Mango,Kharif,2022,0,0
Ratnagiri,Mango,Kharif,2023,0,0
