district,crop,season,year,avg_percent,payout
Satara,Mango,Rabi,2016,0,0
Satara,Mango,Rabi,2017,0,0
Satara,Mango,Rabi,2018,0,0
Satara,Mango,Rabi,2019,0,0
Sindhudurg,Pomegranate,Kharif,2015,0,0
Sindhudurg,Pomegranate,Kharif,2016,0,0
Sindhudurg,Pomegranate,Kharif,2017,0,0
Sindhudurg,Pomegranate,Kharif,2018,0,0
Sindhudurg,Pomegranate,Kharif,2019,0,0
Sindhudurg,Pomegranate,Rabi,2015,0,0
Sindhudurg,Pomegranate,Rabi,2016,0,0
Sindhudurg,Pomegranate,Rabi,2017,0,0
Sindhudurg,Pomegranate,Rabi,2018,0,0
Sindhudurg,Pomegranate,Rabi,2019,0,0
Sindhudurg,Mango,Kharif,2015,0,0
Sindhudurg,Mango,Kharif,2016,0,0
Sindhudurg,Mango,Kharif,2017,0,0
Sindhudurg,Mango,Kharif,2018,0,0
Sindhudurg,Mango,Kharif,2019,0,0
Sindhudurg,Mango,Rabi,2015,0,0
Sindhudurg,Mango,Rabi,2016,0,0
Sindhudurg,Mango,Rabi,2017,0,0
Sindhudurg,Mango,Rabi,2018,0,0
Sindhudurg,Mango,Rabi,2019,0,0
Solapur,Pomegranate,Kharif,2015,0,0
Solapur,Pomegranate,Kharif,2016,0,0
Solapur,Pomegranate,Kharif,2017,0,0
Solapur,Pomegranate,Kharif,2018,0,0
Solapur,Pomegranate,Kharif,2019,0,0
Solapur,Pomegranate,Rabi,2015,0,0
Solapur,Pomegranate,Rabi,2016,0,0
Solapur,Pomegranate,Rabi,2017,0,0
Solapur,Pomegranate,Rabi,2018,0,0
Solapur,Pomegranate,Rabi,2019,0,0
Solapur,Mango,Kharif,2015,0,0
Solapur,Mango,Kharif,2016,0,0
Solapur,Mango,Kharif,2017,0,0
Solapur,Mango,Kharif,2018,0,0
Solapur,Mango,Kharif,2019,0,0
Solapur,Mango,Rabi,2015,0,0
Solapur,Mango,Rabi,2016,0,0
Solapur,Mango,Rabi,2017,0,0
Solapur,Mango,Rabi,2018,0,0
Solapur,Mango,Rabi,2019,0,0
Thane,Pomegranate,Kharif,2015,0,0
Thane,Pomegranate,Kharif,2016,0,0
Thane,Pomegranate,Kharif,2017,0,0
Thane,Pomegranate,Kharif,2018,0,0
Thane,Pomegranate,Kharif,2019,0,0
Thane,Pomegranate,Rabi,2015,0,0
Thane,Pomegranate,Rabi,2016,0,0
Thane,Pomegranate,Rabi,2017,0,0
Thane,Pomegranate,Rabi,2018,0,0
Thane,Pomegranate,Rabi,2019,0,0
Thane,Mango,Kharif,2015,0,0
Thane,Mango,Kharif,2016,0,0
Thane,Mango,Kharif,2017,0,0
Thane,Mango,Kharif,2018,0,0
Thane,Mango,Kharif,2019,0,0
Thane,Mango,Rabi,2015,0,0
Thane,Mango,Rabi,2016,0,0
Thane,Mango,Rabi,2017,0,0
Thane,Mango,Rabi,2018,0,0
Thane,Mango,Rabi,2019,0,0
Washim,Pomegranate,Kharif,2015,0,0
Washim,Pomegranate,Kharif,2016,0,0
Washim,Pomegranate,Kharif,2017,0,0
Washim,Pomegranate,Kharif,2018,0,0
Washim,Pomegranate,Kharif,2019,0,0
Washim,Pomegranate,Rabi,2015,0,0
Washim,Pomegranate,Rabi,2016,0,0
Washim,Pomegranate,Rabi,2017,0,0
Washim,Pomegranate,Rabi,2018,0,0
Washim,Pomegranate,Rabi,2019,0,0
Washim,Mango,Kharif,2015,0,0
Washim,Mango,Kharif,2016,0,0
Washim,Mango,Kharif,2017,0,0
Washim,Mango,Kharif,2018,0,0
Washim,Mango,Kharif,2019,0,0
Washim,Mango,Rabi,2015,0,0
Washim,Mango,Rabi,2016,0,0
Washim,Mango,Rabi,2017,0,0
Washim,Mango,Rabi,2018,0,0
Washim,Mango,Rabi,2019,0,0
